,cost,description,animal,property
0,510.0,redacted,dog,house - single occupancy 
1,255.0,redacted,fox,railings
2,255.0,redacted,dog,pipe or drain 
3,255.0,redacted,horse,"intensive farming sheds (chickens, pigs etc) "
4,255.0,redacted,rabbit,house - single occupancy 
5,255.0,redacted,unknown - heavy livestock animal,house - single occupancy 
6,255.0,redacted,dog,park 
7,255.0,redacted,dog,lake/pond/reservoir 
8,255.0,redacted,squirrel,house - single occupancy 
9,255.0,redacted,dog,river/canal 
10,255.0,redacted,cat,tree scrub 
11,510.0,redacted,bird,lake/pond/reservoir 
12,255.0,redacted,dog,car 
13,255.0,redacted,dog,other animal boarding/breeding establishment
14,255.0,redacted,cat,tree scrub 
15,255.0,redacted,cat,tree scrub 
16,255.0,redacted,cat,wasteland 
17,255.0,redacted,dog,woodland/forest - broadleaf/hardwood 
18,255.0,redacted,unknown - domestic animal or pet,park 
19,255.0,redacted,dog,road surface/pavement 
20,255.0,redacted,cat,park 
21,255.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
22,255.0,redacted,dog,road surface/pavement 
23,255.0,redacted,cat,private garage 
24,255.0,redacted,dog,lake/pond/reservoir 
25,255.0,redacted,cat,cycle path/public footpath/bridleway 
26,765.0,redacted,dog,lake/pond/reservoir 
27,255.0,redacted,bird,domestic garden (vegetation not equipment) 
28,255.0,redacted,cat,house - single occupancy 
29,255.0,redacted,dog,park 
30,255.0,redacted,dog,house - single occupancy 
31,255.0,redacted,bird,wasteland 
32,255.0,redacted,dog,public toilets 
33,510.0,redacted,dog,railings
34,255.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
35,255.0,redacted,cat,park 
36,255.0,redacted,dog,house - single occupancy 
37,765.0,redacted,fox,beach 
38,510.0,redacted,dog,park 
39,255.0,redacted,fox,house - single occupancy 
40,255.0,redacted,bird,house - single occupancy 
41,255.0,redacted,cat,tenement building 
42,255.0,redacted,cat,railway 
43,765.0,redacted,dog,river/canal 
44,255.0,redacted,unknown - domestic animal or pet,domestic garden (vegetation not equipment) 
45,255.0,redacted,dog,park 
46,255.0,redacted,squirrel,vehicle repair workshop
47,255.0,redacted,cat,house - single occupancy 
48,255.0,redacted,dog,football stadium 
49,510.0,redacted,cat,tree scrub 
50,255.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
51,255.0,redacted,unknown - heavy livestock animal,other dwelling 
52,255.0,redacted,dog,purpose built flats/maisonettes - 10 or more storeys 
53,255.0,redacted,dog,river/canal 
54,255.0,redacted,dog,pipe or drain 
55,255.0,redacted,cat,house - single occupancy 
56,255.0,redacted,fox,park 
57,255.0,redacted,fox,wasteland 
58,255.0,redacted,cat,house - single occupancy 
59,765.0,redacted,dog,lake/pond/reservoir 
60,255.0,redacted,cat,cycle path/public footpath/bridleway 
61,255.0,redacted,cat,converted flat/maisonette - up to 2 storeys 
62,255.0,redacted,cat,converted flat/maisonette - up to 2 storeys 
63,255.0,redacted,bird,tree scrub 
64,255.0,redacted,unknown - heavy livestock animal,other outdoor location 
65,255.0,redacted,cat,other residential home 
66,255.0,redacted,dog,lake/pond/reservoir 
67,255.0,redacted,dog,cycle path/public footpath/bridleway 
68,255.0,redacted,bird,river/canal 
69,255.0,redacted,bird,single shop 
70,1275.0,redacted,cat,river/canal 
71,255.0,redacted,bird,tree scrub 
72,255.0,redacted,bird,park 
73,255.0,redacted,cat,purpose built flats/maisonettes - 10 or more storeys 
74,255.0,redacted,fox,bridge
75,255.0,redacted,cat,tree scrub 
76,255.0,redacted,bird,lake/pond/reservoir 
77,255.0,redacted,unknown - domestic animal or pet,house - single occupancy 
78,255.0,redacted,cat,purpose built flats/maisonettes - 4 to 9 storeys 
79,255.0,redacted,bird,house - single occupancy 
80,510.0,redacted,cat,purpose built flats/maisonettes - 4 to 9 storeys 
81,255.0,redacted,bird,house - single occupancy 
82,255.0,redacted,dog,car 
83,255.0,redacted,cat,house - single occupancy 
84,255.0,redacted,cat,house - single occupancy 
85,255.0,redacted,bird,railway building - other
86,255.0,redacted,dog,river/canal 
87,255.0,redacted,dog,converted flat/maisonettes - 3 or more storeys
88,255.0,redacted,dog,canal/riverbank vegetation 
89,510.0,redacted,cat,tree scrub 
90,255.0,redacted,dog,domestic garden (vegetation not equipment) 
91,255.0,redacted,dog,house - single occupancy 
92,255.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
93,255.0,redacted,cat,other outdoor structures 
94,510.0,redacted,cat,car 
95,765.0,redacted,horse,other outdoor location 
96,255.0,redacted,cat,"nurseries, market garden "
97,255.0,redacted,cat,house - single occupancy 
98,510.0,redacted,bird,other retail  
99,255.0,redacted,unknown - heavy livestock animal,private garden shed 
100,255.0,redacted,bird,house - single occupancy 
101,255.0,redacted,bird,park 
102,255.0,redacted,cat,converted flat/maisonette - up to 2 storeys 
103,255.0,redacted,cat,house - single occupancy 
104,510.0,redacted,bird,house - single occupancy 
105,255.0,redacted,sheep,river/canal 
106,255.0,redacted,cat,domestic garden (vegetation not equipment) 
107,255.0,redacted,bird,purpose built flats/maisonettes - 4 to 9 storeys 
108,255.0,redacted,cat,tree scrub 
109,255.0,redacted,cat,house - single occupancy 
110,255.0,redacted,unknown - heavy livestock animal,purpose built flats/maisonettes - 4 to 9 storeys 
111,255.0,redacted,cat,domestic garden (vegetation not equipment) 
112,255.0,redacted,dog,outdoor storage 
113,255.0,redacted,cat,warehouse 
114,255.0,redacted,cat,converted flat/maisonette - up to 2 storeys 
115,255.0,redacted,dog,domestic garden (vegetation not equipment) 
116,255.0,redacted,dog,private garage 
117,255.0,redacted,cat,house - single occupancy 
118,255.0,redacted,bird,multi-storey car park
119,255.0,redacted,bird,purpose built flats/maisonettes - 10 or more storeys 
120,255.0,redacted,bird,purpose built flats/maisonettes - 10 or more storeys 
121,255.0,redacted,bird,woodland/forest - broadleaf/hardwood 
122,255.0,redacted,cat,"takeaway, fast food "
123,255.0,redacted,cat,tree scrub 
124,255.0,redacted,cat,house - single occupancy 
125,260.0,redacted,cat,tree scrub 
126,260.0,redacted,dog,pipe or drain 
127,260.0,redacted,dog,lake/pond/reservoir 
128,260.0,redacted,cat,private garage 
129,260.0,redacted,dog,house - single occupancy 
130,260.0,redacted,dog,other retail  
131,260.0,redacted,cat,domestic garden (vegetation not equipment) 
132,260.0,redacted,cat,house - single occupancy 
133,260.0,redacted,bird,house - single occupancy 
134,260.0,redacted,unknown - domestic animal or pet,purpose built flats/maisonettes - 4 to 9 storeys 
